name,date_x,score,genre,overview,orig_title,orig_lang,budget_x,country
Plane,01/27/2023,69.0,"Action,Adventure,Thriller","After a heroic job of successfully landing his storm-damaged aircraft in a war zone,a fearless pilot finds himself between the agendas of multiple militias planning to take the plane and its passengers hostage.",Plane,English,25000000.0,GB
The Passion of the Christ,02/25/2004,74.0,Drama,"A graphic portrayal of the last twelve hours of Jesus of Nazareth's life.",The Passion of the Christ,English,25000000.0,AU
Batman: The Doom That Came to Gotham,03/28/2023,64.0,"Animation,Fantasy,Horror,Action,Mystery","Explorer Bruce Wayne accidentally unleashes an ancient evil,and returns to Gotham after being away for two decades. There,Batman battles Lovecraftian supernatural forces and encounters allies and enemies such as Green Arrow,Ra's al Ghul,Mr. Freeze,Killer Croc,Two-Face and James Gordon.",Batman: The Doom That Came to Gotham,English,145760000.0,US
Shazam! Fury of the Gods,03/16/2023,69.0,"Action,Comedy,Fantasy","Billy Batson and his foster siblings,who transform into superheroes by saying Shazam!,are forced to get back into action and fight the Daughters of Atlas,who they must stop from using a weapon that could destroy the world.",Shazam! Fury of the Gods,English,125000000.0,AU
Consecration,02/10/2023,65.0,"Horror,Thriller","After the alleged suicide of her priest brother,Grace travels to the remote Scottish convent where he fell to his death. Distrusting the Church's account,she uncovers murder,sacrilege and a disturbing truth about herself.",Consecration,English,54060000.0,US
Shark Side of the Moon,08/12/2022,53.0,"Action,Science Fiction,Thriller,Horror","Decades ago,the USSR developed unkillable sharks and launched them to the moon. Today,a team of American astronauts will endure the fight of their lives.",Shark Side of the Moon,English,10000.0,US
Black Adam,10/20/2022,71.0,"Action,Adventure,Science Fiction,Fantasy","Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods—and imprisoned just as quickly—Black Adam is freed from his earthly tomb,ready to unleash his unique form of justice on the modern world.",Black Adam,English,200000000.0,AU
Money Shot: The Pornhub Story,03/15/2023,58.0,Documentary,"Featuring interviews with performers,activists and past employees,this documentary offers a deep dive into the successes and scandals of Pornhub.",Money Shot: The Pornhub Story,English,68500000.0,US
M3GAN,01/12/2023,74.0,"Science Fiction,Horror,Comedy","A brilliant toy company roboticist uses artificial intelligence to develop M3GAN,a life-like doll programmed to emotionally bond with her newly orphaned niece. But when the doll's programming works too well,she becomes overprotective of her new friend with terrifying results.",M3GAN,English,12000000.0,AU
Ant-Man and the Wasp: Quantumania,02/16/2023,63.0,"Science Fiction,Adventure,Action","Super-Hero partners Scott Lang and Hope van Dyne,along with with Hope's parents Janet van Dyne and Hank Pym,and Scott's daughter Cassie Lang,find themselves exploring the Quantum Realm,interacting with strange new creatures and embarking on an adventure that will push them beyond the limits of what they thought possible.",Ant-Man and the Wasp: Quantumania,English,200000000.0,AU
