name,date_x,score,genre,overview,orig_title,orig_lang,budget_x,country
Elvis,06/23/2022,77.0,"Drama,Music,History","The life story of Elvis Presley as seen through the complicated relationship with his enigmatic manager,Colonel Tom Parker.",Elvis,English,85000000.0,AU
The House,01/14/2022,71.0,"Animation,Drama,Comedy,Horror,Fantasy","Across different eras,a poor family,an anxious developer and a fed-up landlady become tied to the same mysterious house in this animated dark comedy.",The House,English,40000000.0,GB
Fortress,03/01/2022,60.0,"Action,Thriller,Crime","The story revolves around a top-secret resort for retired U.S. intelligence officers. A group of criminals led by Balzary breach the compound,hellbent on revenge on Robert,forcing the retired officer and his son to save the day.",Fortress,English,12000000.0,AU
The Grandmother,04/06/2022,59.0,"Drama,Horror","Susana leaves her life in Paris,where she works as a model,and returns to Madrid to take care of her grandmother Pilar.",La abuela," Spanish,Castilian",3749231.0,FR
King of Kings,10/11/1961,71.0,"Drama,History","Who is Jesus,and why does he impact all he meets? He is respected and reviled,emulated and accused,beloved,betrayed,and finally crucified. Yet that terrible fate would not be the end of the story.",King of Kings,English,5037000.0,US
In Time,10/27/2011,70.0,"Action,Thriller,Science Fiction","In the not-too-distant future the aging gene has been switched off. To avoid overpopulation,time has become the currency and the way people pay for luxuries and necessities. The rich can live forever,while the rest try to negotiate for their immortality. A poor young man who comes into a fortune of time,though too late to help his mother from dying. He ends up on the run from a corrupt police force known as 'time keepers'.",In Time,English,35000000.0,AU
Hansan: Rising Dragon,08/05/2022,72.0,"Action,History,Drama,War","In 1592,admiral Yi Sun-sin and his fleet face off against the might of the invading Japanese navy and its formidable warships. As the Korean forces fall into crisis,the admiral resorts to using his secret weapon,the dragon head ships known as geobukseon,in order to change the tide of this epic battle at sea.",한산: 용의 출현,Korean,121000000.0,AU
Taken 3,01/08/2015,62.0,"Thriller,Action","Ex-government operative Bryan Mills finds his life is shattered when he's falsely accused of a murder that hits close to home. As he's pursued by a savvy police inspector,Mills employs his particular set of skills to track the real killer and exact his unique brand of justice.",Taken 3,English,48000000.0,AU
A Bug's Life,12/03/1998,70.0,"Adventure,Animation,Comedy,Family","On behalf of oppressed bugs everywhere, an inventive ant named Flik hires a troupe of warrior bugs to defend his bustling colony from a horde of freeloading grasshoppers led by the evil-minded Hopper.",A Bug's Life,English,120000000.0,AU
Maleficent: Mistress of Evil,10/17/2019,73.0,"Family,Fantasy,Adventure,Action","Maleficent and her goddaughter Aurora begin to question the complex family ties that bind them as they are pulled in different directions by impending nuptials,unexpected allies,and dark new forces at play.",Maleficent: Mistress of Evil,English,185000000.0,AU
Bad Boys for Life,01/16/2020,72.0,"Thriller,Action,Crime","Marcus and Mike are forced to confront new threats,career changes,and midlife crises as they join the newly created elite team AMMO of the Miami police department to take down the ruthless Armando Armas,the vicious leader of a Miami drug cartel.",Bad Boys for Life,English,90000000.0,AU
Ready Player One,03/29/2018,76.0,"Science Fiction,Adventure,Action","When the creator of a popular video game system dies,a virtual contest is created to compete for his fortune.",Ready Player One,English,150000000.0,AU
The Second Coming of Christ,03/06/2018,36.0,"Action,Drama","The journey of a woman scientist who,at the end of times,discovers that true Faith can bring Miracles.",The Second Coming of Christ,English,47270000.0,US
The Flash,06/16/2023,0.0,"Science Fiction,Action,Adventure","The Flash travels through time to prevent the murder of his mother,but unwittingly causes changes that result in the creation of a multiverse.",The Flash,English,200000000.0,US
The Chalk Line,09/09/2022,64.0,Horror,"After a couple finds a traumatized child of unknown origins,wife Paula must decipher the girl's strange behaviors to unlock her identity and dark past.",Jaula," Spanish,Castilian",92600000.0,ES
Pokemon the Movie: Mewtwo Strikes Back - Evolution,07/12/2019,67.0,"Animation,Adventure,Fantasy,Action,Family","After accepting an invitation from a mysterious trainer,Ash,Misty and Brock meet Mewtwo,an artificially created Pokémon who wants to do battle.",ミュウツーの逆襲 EVOLUTION,Japanese,59844080.0,JP
The Lost Lotteries,11/16/2022,60.0,"Crime,Comedy","Five down-on-their-luck strangers must band together to steal back winning lottery tickets worth millions from a wicked mafia boss.",ปฏิบัติการกู้หวย,Thai,62800000.0,TH
November,05/11/2023,73.0,"Thriller,Crime,Drama","In November 2015,a series of unprecedented and deadly attacks hits Paris. The anti-terrorist police led by Heloise and her chief commander Fred - face an unprecedented level of pressure: in a race against the clock,they must find the perpetrators of the attacks as quickly as possible before they can strike again,travelling across Europe and beyond in one of the biggest manhunts in history.",Novembre,French,250000.0,AU
The Nun 2,09/08/2023,0.0,"Horror,Mystery","1956,France. A priest is murdered,an evil is spreading,and Sister Irene once again comes face to face with the malevolent force of Valak,the demon nun.",The Nun 2,English,246000000.0,US
Aria the Benedizione,12/03/2021,63.0,"Animation,Comedy,Science Fiction,Fantasy","Neo-Venezia has reached a long winter. Ai,Azusa and Anya,who were practicing jointly in the cold weather,visit the Undine Museum,led by Akira who seems not her usual self. At the museum,the trio meet its director,Asuka who is Akira's senior known as Himeya's legendary undine. The two of them are the successors to a gondola that has been carefully passed down since the founding of Himeya Company. However,Akira reveals that Aika,who is expected to inherit the gondola,has no intention of doing so. Azusa,who is not convinced,tries to find out why.",ARIA The BENEDIZIONE,Japanese,184000000.0,JP
Sausage Party,08/11/2016,57.0,"Adventure,Animation,Comedy,Fantasy","Frank leads a group of supermarket products on a quest to discover the truth about their existence and what really happens when they become chosen to leave the grocery store.",Sausage Party,English,19000000.0,AU
Fortress: Sniper's Eye,04/29/2022,56.0,"Action,Thriller,Crime","Weeks after the deadly assault on Fortress Camp,Robert makes a daring rescue to save Sasha,the widow of his old nemesis Balzary. But back in the camp's command bunker,it appears Sasha may have devious plans of her own. As a new attack breaks out,Robert is confronted with a familiar face he thought he'd never see again…",Fortress: Sniper's Eye,English,125600000.0,US
Fight Club,11/11/1999,84.0,"Drama,Thriller,Comedy","A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on,with underground fight clubs forming in every town,until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",Fight Club,English,65000000.0,AU
Hercules,09/18/1997,75.0,"Animation,Family,Fantasy,Adventure,Comedy,Romance","Bestowed with superhuman strength,a young mortal named Hercules sets out to prove himself a hero in the eyes of his father,the great god Zeus. Along with his friends Pegasus,a flying horse,and Phil,a personal trainer,Hercules is tricked by the hilarious,hotheaded villain Hades,who's plotting to take over Mount Olympus!",Hercules,English,100000000.0,AU
Hercules,09/18/1997,75.0,"Animation,Family,Fantasy,Adventure,Comedy,Romance","Bestowed with superhuman strength,a young mortal named Hercules sets out to prove himself a hero in the eyes of his father,the great god Zeus. Along with his friends Pegasus,a flying horse,and Phil,a personal trainer,Hercules is tricked by the hilarious,hotheaded villain Hades,who's plotting to take over Mount Olympus!",Hercules,English,70000000.0,AU
Waktu Maghrib,02/09/2023,63.0,Horror,"The cruel terror chased the souls of Adi and Saman until. Ayu knows the reason for the terror. There is a sin that is committed at the most dangerous time,Maghrib Time. What sin did they commit? What happened to Adi,Saman,Ayu and the villagers?",Waktu Maghrib,Indonesian,87000000.0,ID
Legion,06/03/2010,58.0,"Horror,Action,Fantasy","When God loses faith in humankind,he sends his legion of angels to bring on the Apocalypse. Humanity's only hope for survival lies in a group of strangers trapped in an out-of-the-way,desert diner with the Archangel Michael.",Legion,English,26000000.0,AU
Six Swedish Girls in a Boarding School,09/28/1979,54.0,Comedy,"Miss Klein runs a boarding-school. The girls that go there are really free spirited. They chloroform a peeping Tom,lock two plumbers in the dormitories,strip for a gamekeeper and tease their gym teacher. In class,their biology teacher gets carried away while giving a demonstration of sex positions with the gym teacher. In the meantime,one of the girls makes some exciting alterations to their bicycles to make their rides more enjoyable.",Sechs Schwedinnen im Pensionat,German,76000000.0,DE
From Straight A's to XXX,02/11/2017,60.0,"Drama,TV Movie","When a change of circumstances leaves Miriam unable to pay her college tuition,she makes a surprising decision: to start performing in adult films,using the pseudonym Belle Knox. Miriam lies to her family and her friends at school,keeping her double life a secret. But soon rumours spread and Miriam becomes the subject of vicious online attacks and unwanted attention. Miriam fights back: she talks to the media,saying her new line of work empowers her as a feminist. But her confident stand has unintended consequences. Miriam is shunned by her conservative family and her colleagues in the adult film world. One impulsive decision has quickly spiralled out of control - and Miriam's problems are just beginning.",From Straight A's to XXX,English,127200000.0,US
Justice League,11/16/2017,61.0,"Action,Adventure,Science Fiction","Fuelled by his restored faith in humanity and inspired by Superman's selfless act,Bruce Wayne and Diana Prince assemble a team of metahumans consisting of Barry Allen,Arthur Curry and Victor Stone to face the catastrophic threat of Steppenwolf and the Parademons who are on the hunt for three Mother Boxes on Earth.",Justice League,English,300000000.0,AU
The Last Temptation of Christ,10/13/1988,72.0,Drama,"Jesus,a humble Judean carpenter beginning to see that he is the son of God,is drawn into revolutionary action against the Roman occupiers by Judas -- despite his protestations that love,not violence,is the path to salvation. The burden of being the savior of mankind torments Jesus throughout his life,leading him to doubt.",The Last Temptation of Christ,English,7000000.0,AU
Ron's Gone Wrong,10/21/2021,80.0,"Animation,Science Fiction,Family,Comedy","In a world where walking,talking,digitally connected bots have become children's best friends,an 11-year-old finds that his robot buddy doesn't quite work the same as the others do.",Ron's Gone Wrong,English,30511196.0,AU
Mad Max: Fury Road,05/14/2015,76.0,"Action,Adventure,Science Fiction","An apocalyptic story set in the furthest reaches of our planet,in a stark desert landscape where humanity is broken,and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order.",Mad Max: Fury Road,English,150000000.0,AU
How to Train Your Dragon 2,06/09/2014,77.0,"Fantasy,Action,Adventure,Animation,Comedy,Family","Five years have passed since Hiccup and Toothless united the dragons and Vikings of Berk. Now,they spend their time charting unmapped territories. During one of their adventures,the pair discover a secret cave that houses hundreds of wild dragons -- and a mysterious dragon rider who turns out to be Hiccup's mother,Valka. Hiccup and Toothless then find themselves at the center of a battle to protect Berk from a power-hungry warrior named Drago.",How to Train Your Dragon 2,English,145000000.0,AU
Blackout,10/12/2022,54.0,"Action,Adventure,Thriller","A man wakes in a hospital with no memory,and quickly finds himself on the run in a locked down hospital with the Cartel on his tail.",Blackout,English,96400000.0,DK
Despicable Me,09/09/2010,72.0,"Family,Animation,Comedy,Crime","Villainous Gru lives up to his reputation as a despicable,deplorable and downright unlikable guy when he hatches a plan to steal the moon from the sky. But he has a tough time staying on task after three orphans land in his care.",Despicable Me,English,69000000.0,AU
Lies My Sister Told Me,05/29/2022,66.0,"TV Movie,Thriller,Drama","A woman escapes from a mental hospital,intent on getting back the life she thinks was stolen from her by her twin sister. Instead,she walks into her worst nightmare.",Lies My Sister Told Me,English,83800000.0,US
Ava,06/21/2017,62.0,Drama,"Ava,13,is spending the summer on the Atlantic coast when she learns that she will lose her sight sooner than expected. Her mother decides to act as if everything were normal so as to spend their best summer ever. Ava confronts the problem in her own way. She steals a big black dog that belongs to a young man on the run...",Ava,French,3000000.0,FR
Fractured,10/10/2019,67.0,Thriller,"Driving cross-country,Ray and his wife and daughter stop at a highway rest area where his daughter falls and breaks her arm. After a frantic rush to the hospital and a clash with the check-in nurse,Ray is finally able to get her to a doctor. While the wife and daughter go downstairs for an MRI,Ray,exhausted,passes out in a chair in the lobby. Upon waking up,they have no record or knowledge of Ray's family ever being checked in.",Fractured,English,108200000.0,AU
Ralph Breaks the Internet,11/26/2018,72.0,"Family,Animation,Comedy,Adventure","Video game bad guy Ralph and fellow misfit Vanellope von Schweetz must risk it all by traveling to the World Wide Web in search of a replacement part to save Vanellope's video game,Sugar Rush. In way over their heads,Ralph and Vanellope rely on the citizens of the internet — the netizens — to help navigate their way,including an entrepreneur named Yesss,who is the head algorithm and the heart and soul of trend-making site BuzzzTube.",Ralph Breaks the Internet,English,175000000.0,AU
The Proposal,06/18/2009,71.0,"Comedy,Romance,Drama","When she learns she's in danger of losing her visa status and being deported,overbearing book editor Margaret Tate forces her put-upon assistant,Andrew Paxton,to marry her.",The Proposal,English,40000000.0,AU
Rampage,04/20/2018,64.0,"Action,Adventure,Science Fiction","Primatologist Davis Okoye shares an unshakable bond with George,the extraordinarily intelligent,silverback gorilla who has been in his care since birth.  But a rogue genetic experiment gone awry mutates this gentle ape into a raging creature of enormous size.  To make matters worse,it’s soon discovered there are other similarly altered animals.  As these newly created alpha predators tear across North America,destroying everything in their path,Okoye teams with a discredited genetic engineer to secure an antidote,fighting his way through an ever-changing battlefield,not only to halt a global catastrophe but to save the fearsome creature that was once his friend.",Rampage,English,120000000.0,AU
Ashfall,01/09/2020,68.0,"Action,Adventure,Thriller","A group of unlikely heroes from across the Korean peninsula try to save the day after a volcano erupts on the mythical and majestic Baekdu Mountain.",백두산,Korean,17700000.0,AU
Wrong Turn,02/04/2021,60.0,"Horror,Thriller","Jen and a group of friends set out to hike the Appalachian Trail. Despite warnings to stick to the trail,the hikers stray off course—and cross into land inhabited by The Foundation,a hidden community of mountain dwellers who use deadly means to protect their way of life.",Wrong Turn,English,10000000.0,AU
Alice in Wonderland,07/01/2010,66.0,"Family,Fantasy,Adventure","Alice,now 19 years old,returns to the whimsical world she first entered as a child and embarks on a journey to discover her true destiny.",Alice in Wonderland,English,200000000.0,AU
Alice in Wonderland,07/01/2010,66.0,"Family,Fantasy,Adventure","Alice,now 19 years old,returns to the whimsical world she first entered as a child and embarks on a journey to discover her true destiny.",Alice in Wonderland,English,3000000.0,AU
Ripper Untold,06/28/2021,62.0,Horror,"A detective and a medical examiner join forces to solve a series of horrific murders in Victorian London - but one of them harbors a deadly secret.",Ripper Untold,English,80200000.0,GB
Rurouni Kenshin: The Beginning,06/04/2021,77.0,"Action,Adventure,Drama","Before he was a protector,Kenshin was a fearsome assassin known as Battosai. But when he meets gentle Tomoe Yukishiro,a beautiful young woman who carries a huge burden in her heart,his life will change forever.",るろうに剣心 最終章 The Beginning,Japanese,138000000.0,JP
Brother Bear,12/26/2003,73.0,"Adventure,Animation,Family","When an impulsive boy named Kenai is magically transformed into a bear,he must literally walk in another's footsteps until he learns some valuable life lessons. His courageous and often zany journey introduces him to a forest full of wildlife,including the lovable bear cub Koda,hilarious moose Rutt and Tuke,woolly mammoths and rambunctious rams.",Brother Bear,English,46000000.0,AU
Purple Hearts,07/29/2022,82.0,"Romance,Drama","An aspiring musician agrees to a marriage of convenience with a soon-to-deploy Marine,but a tragedy soon turns their fake relationship all too real.",Purple Hearts,English,175200000.0,US
Ninja Assassin,03/04/2010,65.0,"Action,Thriller","Ninja Assassin follows Raizo,one of the deadliest assassins in the world. Taken from the streets as a child,he was transformed into a trained killer by the Ozunu Clan,a secret society whose very existence is considered a myth. But haunted by the merciless execution of his friend by the Clan,Raizo breaks free from them and vanishes. Now he waits,preparing to exact his revenge.",Ninja Assassin,English,50000000.0,AU
Presences,09/07/2022,69.0,Horror,"A man who loses his wife and goes to seclude himself in a cabin in the woods,where strange things happen.",Presencias," Spanish,Castilian",101400000.0,MX
Miss Peregrine's Home for Peculiar Children,09/29/2016,68.0,"Fantasy,Adventure,Family,Drama","A teenager finds himself transported to an island where he must help protect a group of orphans with special powers from creatures intent on destroying them.",Miss Peregrine's Home for Peculiar Children,English,110000000.0,AU
How to Train Your Dragon,03/25/2010,78.0,"Fantasy,Adventure,Animation,Family","As the son of a Viking leader on the cusp of manhood,shy Hiccup Horrendous Haddock III faces a rite of passage: he must kill a dragon to prove his warrior mettle. But after downing a feared dragon,he realizes that he no longer wants to destroy it,and instead befriends the beast – which he names Toothless – much to the chagrin of his warrior father.",How to Train Your Dragon,English,165000000.0,AU
Scream 3,03/23/2000,60.0,"Horror,Mystery","While Sidney lives in safely guarded seclusion,bodies begin dropping around the Hollywood set of STAB 3,the latest movie based on the gruesome Woodsboro killings.",Scream 3,English,40000000.0,AU
Predator,08/20/1987,75.0,"Science Fiction,Action,Adventure,Thriller","A team of elite commandos on a secret mission in a Central American jungle come to find themselves hunted by an extraterrestrial warrior.",Predator,English,18000000.0,AU
Superman/Shazam!: The Return of Black Adam,11/09/2010,71.0,"Animation,Action","Chosen the world’s protector against the Seven Deadly Enemies of Man – pride,envy,greed,hatred,selfishness,laziness and injustice – young Billy Batson accepts his destiny as Captain Marvel. Battling alongside Superman against nefarious Black Adam,Billy soon discovers the challenge super heroes ultimately face: is it revenge or justice?",Superman/Shazam!: The Return of Black Adam,English,61095924.0,US
L'oubliée d'Amboise,06/25/2022,66.0,"Crime,TV Movie","A violinist is found dead not far from the tomb of DaVinci,in a suspicious position. Captain of the Orléans research section,Alban Dutertre teams up with Officer Bérénice Amarillo. Alban and Bérénice will have to solve the puzzle.",L'oubliée d'Amboise,French,90800000.0,FR
Ponyo,07/06/2009,77.0,"Animation,Fantasy,Family","From the legendary Studio Ghibli,creators of Spirited Away and My Neighbor Totoro,and Academy Award®-winning director Hayao Miyazaki,comes a heartwarming adventure. When Sosuke,a young boy who lives on a clifftop overlooking the sea,rescues a stranded goldfish named Ponyo,he discovers more than he bargained for. Ponyo is a curious,energetic young creature who yearns to be human,but even as she causes chaos around the house,her father,a powerful sorcerer,schemes to return Ponyo to the sea.",崖の上のポニョ,Japanese,41677700.0,AU
Snake Eyes: G.I. Joe Origins,07/22/2021,66.0,"Action,Adventure","After saving the life of their heir apparent,tenacious loner Snake Eyes is welcomed into an ancient Japanese clan called the Arashikage where he is taught the ways of the ninja warrior. But,when secrets from his past are revealed,Snake Eyes' honor and allegiance will be tested – even if that means losing the trust of those closest to him.",Snake Eyes: G.I. Joe Origins,English,88000000.0,AU
Knights of the Zodiac,04/28/2023,0.0,"Fantasy,Action,Adventure","When a headstrong street orphan,Seiya,in search of his abducted sister unwittingly taps into hidden powers,he discovers he might be the only person alive who can protect a reincarnated goddess,sent to watch over humanity. Can he let his past go and embrace his destiny to become a Knight of the Zodiac?",Knights of the Zodiac,English,264940000.0,JP
Dragon Ball Z: Cooler's Revenge,07/20/1991,69.0,"Action,Animation,Science Fiction","After defeating Frieza,Goku returns to Earth and goes on a camping trip with Gohan and Krillin. Everything is normal until Cooler - Frieza's brother - sends three henchmen after Goku. A long fight ensues between our heroes and Cooler,in which he transforms into the fourth stage of his evolution and has the edge in the fight... until Goku transforms into a Super Saiyan.",ドラゴンボールZ とびっきりの最強対最強,Japanese,27104690.0,JP
My Sweet Monster,06/23/2022,65.0,"Animation,Adventure,Family","A scandal in the royal family: the wayward princess Barbara escaped from the palace and went through the forest in search of a handsome prince. However,instead of the cherished meeting with her beloved,she is captured by Buka,the most dangerous robber of the kingdom. But it quickly becomes clear that the brisk princess is ready to turn Buka's life into a nightmare,just to reach her goal. So the restless Varvara begins to establish her own order in the forest.",Бука. Моё любимое чудище,Russian,111800000.0,AU
All the Places,02/14/2023,67.0,"Comedy,Drama","Two siblings who haven't seen each other in 15 years mend their relationship while fulfilling a childhood dream: a motorcycle road trip through Mexico.",A Todas Partes," Spanish,Castilian",64200000.0,MX
Beauty and the Beast,03/23/2017,70.0,"Family,Fantasy,Romance","A live-action adaptation of Disney's version of the classic tale of a cursed prince and a beautiful young woman who helps him break the spell.",Beauty and the Beast,English,160000000.0,AU
Beauty and the Beast,03/23/2017,70.0,"Family,Fantasy,Romance","A live-action adaptation of Disney's version of the classic tale of a cursed prince and a beautiful young woman who helps him break the spell.",Beauty and the Beast,English,20000000.0,AU
Hunting Ava Bravo,04/01/2022,64.0,"Thriller,Action","Billionaire sportsman Buddy King unwinds by hunting human captives on his remote mountain estate. But his latest victim,Ava Bravo,is no easy target.",Hunting Ava Bravo,English,75600000.0,US
Marudase Kintarou,12/11/2020,63.0,"Romance,Comedy,Animation","Makoto's grandfather was the principal of the great Onodera Academy,and when he passed away,he left Makoto and his school staff with one very important will - The one man who is able to seduce Makoto with his superb sexual techniques will be given the right to take over as Onodera Academy's new principal! Because of this ridiculous last request,Makoto is now every faculty member's target for sexual harassment! Desperate to protect his virginity,Makoto seeks help from his childhood friend (and the man who he has always loved),Kintaro.",まるだせ金太狼,Japanese,162940000.0,JP
Drag Me to Hell,03/15/2009,64.0,"Horror,Thriller","After denying a woman the extension she needs to keep her home,loan officer Christine Brown sees her once-promising life take a startling turn for the worse. Christine is convinced she's been cursed by a Gypsy,but her boyfriend is skeptical. Her only hope seems to lie in a psychic who claims he can help her lift the curse and keep her soul from being dragged straight to hell.",Drag Me to Hell,English,30000000.0,US
Brian Banks,08/09/2019,73.0,Drama,"An All-American football player's dreams to play in the NFL are halted when he is falsely accused of rape and sent to prison.",Brian Banks,English,10000000.0,US
Bullet Proof,08/19/2022,58.0,"Action,Crime","The Thief  pulls off the robbery of a lifetime when he robs the psychotic drug lord,Temple. The plan goes off without a hitch until the Thief discovers a stowaway in his getaway car - Temple's pregnant wife,Mia.",Bullet Proof,English,54200000.0,US
Beautiful Disaster,04/12/2023,59.0,"Romance,Drama,Comedy","Bad-boy Travis is exactly what college freshman Abby needs and wants to avoid. He spends his nights fighting in underground boxing matches,and his days as the ultimate college campus charmer. But Abby wants nothing to do with Travis. Intrigued by Abby’s resistance,Travis offers her a simple bet: if he loses his next fight,he must remain sex-free for a month. If he wins,Abby must live in his apartment for the same amount of time. Either way,Travis has no idea that Abby’s dark past is about to emerge,and he may have finally met his match.",Beautiful Disaster,English,94800000.0,US
Sniper: Rogue Mission,08/16/2022,66.0,"Action,Thriller,Mystery","When a crooked federal agent is involved in a human sex trafficking ring,Sniper and CIA Rookie Brandon Beckett goes rogue,teaming up with his former allies Homeland Security Agent Zero and assassin Lady Death to uncover the corrupt agent and take down the criminal organization.",Sniper: Rogue Mission,English,121000000.0,US
Gladiator,05/04/2000,82.0,"Action,Drama,Adventure","In the year 180,the death of emperor Marcus Aurelius throws the Roman Empire into chaos.  Maximus is one of the Roman army's most capable and trusted generals and a key advisor to the emperor.  As Marcus' devious son Commodus ascends to the throne,Maximus is set to be executed.  He escapes,but is captured by slave traders.  Renamed Spaniard and forced to become a gladiator,Maximus must battle to the death with other men for the amusement of paying audiences.",Gladiator,English,103000000.0,AU
The Reading,02/02/2023,74.0,"Drama,Thriller","After a deadly home invasion,Emma (Mo'Nique Hicks) copes by writing a book,but when a young psychic and her team perform a reading in her home,a new terror is unleashed.",The Reading,English,124000000.0,US
The Karate Kid,07/08/2010,65.0,"Action,Adventure,Drama,Family","Twelve-year-old Dre Parker could have been the most popular kid in Detroit,but his mother's latest career move has landed him in China. Dre immediately falls for his classmate Mei Ying but the cultural differences make such a friendship impossible. Even worse,Dre's feelings make him an enemy of the class bully,Cheng. With no friends in a strange land,Dre has nowhere to turn but maintenance man Mr. Han,who is a kung fu master. As Han teaches Dre that kung fu is not about punches and parries,but maturity and calm,Dre realizes that facing down the bullies will be the fight of his life.",The Karate Kid,English,40000000.0,AU
The Karate Kid,07/08/2010,65.0,"Action,Adventure,Drama,Family","Twelve-year-old Dre Parker could have been the most popular kid in Detroit,but his mother's latest career move has landed him in China. Dre immediately falls for his classmate Mei Ying but the cultural differences make such a friendship impossible. Even worse,Dre's feelings make him an enemy of the class bully,Cheng. With no friends in a strange land,Dre has nowhere to turn but maintenance man Mr. Han,who is a kung fu master. As Han teaches Dre that kung fu is not about punches and parries,but maturity and calm,Dre realizes that facing down the bullies will be the fight of his life.",The Karate Kid,English,8000000.0,AU
The Twilight Saga: New Moon,11/19/2009,60.0,"Adventure,Fantasy,Drama,Romance","Forks,Washington resident Bella Swan is reeling from the departure of her vampire love,Edward Cullen,and finds comfort in her friendship with Jacob Black,a werewolf. But before she knows it,she's thrust into a centuries-old conflict,and her desire to be with Edward at any cost leads her to take greater and greater risks.",The Twilight Saga: New Moon,English,50000000.0,AU
The Dark Knight Rises,07/19/2012,78.0,"Action,Crime,Drama,Thriller","Following the death of District Attorney Harvey Dent,Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later,Batman encounters the mysterious Selina Kyle and the villainous Bane,a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",The Dark Knight Rises,English,230000000.0,AU
Pokémon the Movie: Secrets of the Jungle,12/25/2020,71.0,"Animation,Adventure,Family,Fantasy","In the Forest of Okoya,Koko is a feral child who has been raised as a Pokémon by the Mythical Pokémon Zarude. Koko has grown up never doubting that he is a Pokémon even though he can't really use any sort of moves. Ash Ketchum and Pikachu meet Koko and help him protect the Great Tree from the crooked scientist Dr. Zed.",劇場版ポケットモンスター ココ,Japanese,152000000.0,JP
Pleasure,11/04/2021,63.0,Drama,"19-year-old Linnéa leaves her small town in Sweden and heads for Los Angeles with the aim of becoming the world's next big porn star,but the road to her goal turns out to be bumpier than she imagined.",Pleasure,Swedish,87000000.0,AU
Men,06/16/2022,63.0,"Horror,Thriller,Fantasy","In the aftermath of a personal tragedy,Harper retreats alone to the beautiful English countryside,hoping to find a place to heal. But someone — or something — from the surrounding woods appears to be stalking her,and what begins as simmering dread becomes a fully-formed nightmare,inhabited by her darkest memories and fears.",Men,English,117363.2,AU
King,02/16/2022,66.0,"Adventure,Comedy,Family","King,a trafficked lion cub,escapes from the airport and takes refuge with Inès and Alex,who then have the crazy idea of getting him back to Africa. Anything can happen when Max their kooky grandfather,decides to join the adventure.",King,French,36777824.0,FR
Ice Age: Continental Drift,06/28/2012,63.0,"Animation,Comedy,Adventure,Family","Manny,Diego,and Sid embark upon another adventure after their continent is set adrift. Using an iceberg as a ship,they encounter sea creatures and battle pirates as they explore a new world.",Ice Age: Continental Drift,English,95000000.0,AU
Texas Chainsaw Massacre,02/18/2022,52.0,"Horror,Thriller","After nearly 50 years of hiding,Leatherface returns to terrorize a group of idealistic influencers who accidentally disrupt his carefully shielded world in a remote Texas town.",Texas Chainsaw Massacre,English,20000000.0,US
The Devil Wears Prada,09/28/2006,74.0,"Comedy,Drama,Romance","Andy moves to New York to work in the fashion industry. Her boss is extremely demanding,cruel and won't let her succeed if she doesn't fit into the high class elegant look of their magazine.",The Devil Wears Prada,English,35000000.0,AU
KONOSUBA – God's blessing on this wonderful world! Legend of Crimson,08/30/2019,82.0,"Animation,Adventure,Comedy,Fantasy","It is not strange that the Demon Lord's forces fear the Crimson Demons,the clan from which Megumin and Yunyun originate. Even if the Demon Lord's generals attack their village,the Crimson Demons can just easily brush them off with their supreme mastery of advanced and overpowered magic.  When Yunyun receives a seemingly serious letter regarding a potential disaster coming to her hometown,she immediately informs Kazuma Satou and the rest of his party. After a series of wacky misunderstandings,it turns out to be a mere prank by her fellow demon who wants to be an author. Even so,Megumin becomes worried about her family and sets out toward the Crimson Demons' village with the gang.  There,Kazuma and the others decide to sightsee the wonders of Megumin's birthplace. However,they soon come to realize that the nonsense threat they received might have been more than just a joke.",映画 この素晴らしい世界に祝福を！紅伝説,Japanese,182000000.0,JP
Pixels,07/30/2015,57.0,"Action,Comedy,Science Fiction","Video game experts are recruited by the military to fight 1980s-era video game characters who've attacked New York.",Pixels,English,90000000.0,AU
Weathering with You,08/22/2019,80.0,"Animation,Drama,Fantasy,Romance","The summer of his high school freshman year,Hodaka runs away from his remote island home to Tokyo,and quickly finds himself pushed to his financial and personal limits. The weather is unusually gloomy and rainy every day,as if taking its cue from his life. After many days of solitude,he finally finds work as a freelance writer for a mysterious occult magazine. Then,one day,Hodaka meets Hina on a busy street corner. This bright and strong-willed girl possesses a strange and wonderful ability: the power to stop the rain and clear the sky.",天気の子,Japanese,27610000.0,AU
The Nightmare Before Christmas,11/10/1994,78.0,"Fantasy,Animation,Family","Tired of scaring humans every October 31 with the same old bag of tricks,Jack Skellington,the spindly king of Halloween Town,kidnaps Santa Claus and plans to deliver shrunken heads and other ghoulish gifts to children on Christmas morning. But as Christmas approaches,Jack's rag-doll girlfriend,Sally,tries to foil his misguided plans.",The Nightmare Before Christmas,English,24000000.0,AU
